time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.141179773302534e-06,1.616451381586218e-05,10.00314449276393,0.0045515221178051846,0.0011283473495797836,0.0,-0.00030052600696307857,0.000983563570914614,0.10481111507236973,0.022201357896747816,-0.012897888150065574,0.0,439.2249619180857,438.15424566608897,437.23477427752726,439.08009789201384
0.12000000000000001,-4.799096083773055e-05,0.00019163326178444555,10.015195154866069,0.006990554266012694,0.0008650677132653328,0.0,-0.0010895494358612282,0.0051353006865589,0.29684525598304423,0.032588931557568514,-0.006178845252917077,0.0,464.48075430403617,465.0074273809081,465.2773409833214,466.0898333760724
0.18,-0.00013547940585897033,0.0007052340979566727,10.042663657968964,0.010026794192146582,0.0006085291152952976,0.0,-0.0017884094888571652,0.012379486966803566,0.61865026696976,0.04284078161563805,-0.003487407529607067,0.0,503.51434222367715,503.7090804694719,501.0454945161016,501.7905698617719
0.23999999999999996,-0.0002846954341424502,0.001669370258349763,10.083019587021218,0.012963040890276112,0.007662288634127101,0.0,-0.003944841066270849,0.020068798080458722,0.7264786917192595,0.034907330885912316,-0.034234014832583606,0.0,440.35702292746294,437.8066492046452,440.8524974088878,440.1974330206048
0.3,-0.0007186630564479504,0.0032322464507601205,10.134153142062589,0.01943946129239471,0.008244264613820995,0.0,-0.010615515799955793,0.03286029584080851,0.9777785711708302,0.010744684591351781,-0.05326012010081601,0.0,484.407698385352,482.97430412731916,483.47955383263843,481.65602789681606
0.36000000000000004,-0.0015270822650205248,0.005616936204091052,10.196257007823382,0.02024981558462091,0.007889155047786645,0.0,-0.01627603233882924,0.04670811226744322,1.0922461059471988,0.014162120071863371,-0.03595902507524542,0.0,441.46173927806143,442.88545060852795,442.67288714753516,442.9538573990206
0.4200000000000001,-0.0026608911656898866,0.008836144022577663,10.264342441801851,0.022429756848008964,0.0070715236325265,0.0,-0.02144932435085206,0.06080301314448958,1.1771802245221197,0.025653235395693544,-0.0498961855249587,0.0,433.1242122018285,431.9496798763085,433.6982964243087,434.66222098997287
0.48000000000000015,-0.0040920839923795065,0.01296156496139553,10.338185967582046,0.02461926622519517,0.006440863155501297,0.0,-0.02617524226057046,0.07694426017095993,1.2841508121427128,0.015538104451907724,-0.034214077481752085,0.0,439.9592003698002,441.25438197049965,440.94226111690966,440.10597197047247
0.5400000000000001,-0.005839105321184041,0.018205631628962143,10.422776079232241,0.02598257724650388,0.009070115021782676,0.0,-0.03241493586517919,0.09803017220880421,1.5352087819741265,0.007046796448330219,-0.0591480773936412,0.0,484.8771957079726,482.99970089074503,484.67734008832224,484.0386787888267
0.6000000000000002,-0.007960470315040595,0.0246334703766247,10.518182347644801,0.026393486227886953,0.005516806700438082,0.0,-0.03793066332210361,0.11627070774967525,1.6448496711257852,0.005736914010359833,-0.061302372715571894,0.0,443.1627646985275,442.98312429982946,441.693659327529,441.58552224817856
0.6600000000000003,-0.010370485717643194,0.03231548568000876,10.625862601857097,0.026973799744249405,0.0027115027889825782,0.0,-0.04204727521634275,0.1398545491374205,1.944031598572225,0.009993294993818685,-0.07280719835585403,0.0,498.85240724867475,498.0090384709614,498.85177477604225,499.1623416467768
0.7200000000000003,-0.01299076956829122,0.04139276395592586,10.750141184972552,0.02788119272680234,0.008277452283569353,0.0,-0.046033932681827705,0.1628154237346999,2.1981267280182513,0.014988082731391978,-0.10855575777298114,0.0,488.1155930884035,485.435306434093,486.9005622769849,487.27393752862366
0.7800000000000004,-0.015903530199142424,0.051740084355010256,10.884947344037151,0.029297657495051865,0.0028964070231936034,0.0,-0.05052347013027866,0.18222638205813613,2.295220345364543,0.021756828607566846,-0.12147475260411641,0.0,440.5045962827708,439.4235319024379,441.2795040190335,441.837803831471
0.8400000000000004,-0.01896932590329209,0.06330572681965793,11.024755044651858,0.04460347039505841,6.279981559398568,0.0,-0.05106424916681875,0.20474478320099182,2.3648410823176147,0.06156261148869729,-0.11067379557888077,0.0,431.6969995974173,432.5944966968979,431.07833722295845,434.42955090344344
0.9000000000000005,-0.02193126689658103,0.07664703685923482,11.172211477560982,0.04917663307176934,6.273647457160161,0.0,-0.04693707361862884,0.24048382816540362,2.5499467000848224,0.050019670494894065,-0.10569382266817769,0.0,468.0906828245936,468.46823657107853,469.3679388163439,468.47341302845456
0.9600000000000005,-0.02452469559786251,0.09215155657640695,11.32876006757669,0.05774478295974372,6.268252116267927,0.0,-0.0389608843256845,0.2771899604234359,2.6680141342440526,0.07469358536104505,-0.11761816048398073,0.0,449.5478080476101,448.57005215896487,448.2069108138043,450.21007121822413
1.0200000000000005,-0.026577263115373454,0.10983676370744784,11.488947620530581,0.0657202464616411,6.262121973664266,0.0,-0.028930293081475187,0.3130336562545061,2.671503655341574,0.0529821359272318,-0.12943382733086436,0.0,413.3683151622391,412.3111554418753,413.60258071378695,411.6898133879499
1.0800000000000005,-0.02782824959896729,0.13010421520581825,11.65396134547067,0.06889241791048395,6.258696542783833,0.0,-0.01242567158291143,0.3628709235956472,2.828538352226946,0.05257550872781986,-0.1534889116185959,0.0,462.9303823939571,461.0169033294467,461.8876958525382,461.85733693416273
1.1400000000000006,-0.028099044424084025,0.1531398591007273,11.824181658063129,0.07211501239282825,6.249957279079606,0.0,0.004175273279826657,0.4052695618740748,2.8453805297051096,0.048275476758689255,-0.1622959374271918,0.0,418.52362555469136,417.7315006807956,418.6829193747653,418.3104826447834
